"Date","BTCXAU Return","BTCXAU Close","ETHUSD Return","ETHUSD Open","ETHUSD Low","ETHUSD High","ETHUSD Close","SOLUSD Return","SOLUSD Open","SOLUSD Low","SOLUSD High","SOLUSD Close","XRPUSD Return","XRPUSD Open","XRPUSD Low","XRPUSD High","XRPUSD Close","GC1 Return","GC1 Open","GC1 Low","GC1 High","GC1 Close"
01-01-2020,0.0000,4.7837,0.0000,128.4400,127.8900,133.2400,131.8230,,,,,,0.0000,0.1906,0.1901,0.1966,0.1935,,,,,
01-02-2020,-0.0458,4.5648,-0.0308,131.4100,125.6700,132.3464,127.7580,,,,,,-0.0320,0.1934,0.1846,0.1945,0.1873,0.0070,1518.40,1517.25,1531.40,1528.25
01-03-2020,-0.0187,4.6941,0.0024,127.4400,125.4000,135.3900,132.1400,,,,,,-0.0093,0.1873,0.1840,0.1948,0.1917,0.0204,1528.85,1528.85,1553.50,1548.60
01-04-2020,-0.0194,4.6911,0.0160,132.9400,131.9400,136.3500,133.9300,,,,,,-0.0040,0.1915,0.1902,0.1946,0.1927,,,,,
01-05-2020,-0.0159,4.7074,0.0264,134.4400,133.5700,138.9700,135.3000,,,,,,0.0086,0.1927,0.1920,0.1977,0.1952,,,,,
01-06-2020,0.0116,4.8392,0.0753,135.5800,133.8300,143.3800,141.7500,,,,,,0.1296,0.1950,0.1934,0.2246,0.2186,0.0310,1569.20,1560.85,1580.05,1564.80
01-07-2020,0.0668,5.1031,0.0804,141.7900,138.7900,145.3200,142.4200,,,,,,0.1041,0.2178,0.2070,0.2257,0.2136,0.0373,1568.00,1555.30,1598.20,1574.37
01-08-2020,0.0736,5.1357,0.0546,142.4400,136.4200,148.0000,139.0200,,,,,,0.0641,0.2137,0.2028,0.2189,0.2059,0.0262,1594.90,1552.26,1611.45,1557.40
01-09-2020,0.0494,5.0201,0.0374,139.1200,135.1200,141.5700,136.7500,,,,,,0.0439,0.2062,0.2010,0.2087,0.2020,0.0224,1558.00,1540.25,1561.35,1551.75
01-10-2020,0.0785,5.1590,0.0837,136.7500,135.1400,145.8100,142.8550,,,,,,0.0800,0.2020,0.1998,0.2115,0.2090,0.0281,1552.75,1545.75,1561.05,1560.30
01-11-2020,0.0920,5.2240,0.0910,142.8300,141.5900,148.0000,143.8200,,,,,,0.1002,0.2094,0.2077,0.2199,0.2129,,,,,
01-12-2020,0.0937,5.2318,0.0952,143.7500,141.2800,145.8420,144.3700,,,,,,0.0977,0.2130,0.2095,0.2170,0.2124,,,,,
01-13-2020,0.0973,5.2491,0.0938,144.5100,142.0000,147.5900,144.1900,,,,,,0.0956,0.2125,0.2096,0.2158,0.2120,0.0197,1559.36,1543.00,1560.00,1547.60
01-14-2020,0.1809,5.6491,0.2446,144.1900,143.4500,170.8600,164.0710,,,,,,0.2100,0.2118,0.2110,0.2462,0.2341,0.0212,1543.10,1536.00,1550.00,1549.95
01-15-2020,0.1855,5.6711,0.2516,163.9840,159.0000,172.1800,164.9900,,,,,,0.2233,0.2344,0.2255,0.2437,0.2367,0.0252,1549.65,1485.15,1558.20,1555.95
01-16-2020,0.1680,5.5872,0.2370,165.1500,158.1700,167.4300,163.0600,,,,,,0.1821,0.2367,0.2211,0.2371,0.2287,0.0225,1556.39,1548.05,1558.15,1551.85
01-17-2020,0.1978,5.7301,0.2961,163.0800,161.0868,174.5200,170.8600,,,,,,0.2375,0.2283,0.2262,0.2445,0.2394,0.0256,1552.35,1549.45,1561.26,1556.57
01-18-2020,0.1943,5.7131,0.3400,170.6200,164.7800,179.5510,176.6400,,,,,,0.2675,0.2398,0.2311,0.2559,0.2453,,,,,
01-19-2020,0.1678,5.5864,0.2577,176.6300,161.2100,178.0600,165.8000,,,,,,0.2089,0.2456,0.2262,0.2518,0.2339,,,,,
01-20-2020,0.1641,5.5689,0.2661,165.7000,160.9000,167.9000,166.9000,,,,,,0.2119,0.2337,0.2235,0.2366,0.2345,0.0285,1557.10,1550.00,1561.25,1560.97
01-21-2020,0.1695,5.5946,0.2815,167.3480,164.2800,170.2750,168.9300,,,,,,0.2282,0.2346,0.2286,0.2420,0.2377,0.0256,1454.25,1454.25,1568.65,1556.50
01-22-2020,0.1579,5.5391,0.2738,168.9100,165.6100,171.5000,167.9120,,,,,,0.2172,0.2377,0.2303,0.2403,0.2355,0.0270,1556.60,1550.20,1563.80,1558.62
01-23-2020,0.1212,5.3636,0.2312,167.5300,158.4400,168.2590,162.3000,,,,,,0.1638,0.2352,0.2203,0.2374,0.2252,0.0299,1561.40,1551.95,1567.95,1563.03
01-24-2020,0.1305,5.4077,0.2371,162.4200,154.4800,164.4200,163.0800,,,,,,0.1522,0.2247,0.2130,0.2268,0.2230,0.0355,1561.00,1556.59,1575.85,1571.55
01-25-2020,0.1057,5.2892,0.2239,163.2960,157.4000,164.0310,161.3400,,,,,,0.1411,0.2236,0.2160,0.2240,0.2208,,,,,
01-26-2020,0.1377,5.4422,0.2716,161.6000,159.0600,169.3943,167.6300,,,,,,0.1695,0.2205,0.2175,0.2285,0.2263,,,,,
01-27-2020,0.1813,5.6510,0.2978,167.6600,164.7700,172.0600,171.0800,,,,,,0.2069,0.2264,0.2254,0.2339,0.2335,0.0421,1582.75,1575.90,1586.30,1581.65
01-28-2020,0.2068,5.7728,0.3064,171.1300,169.2100,174.8600,172.2200,,,,,,0.2196,0.2328,0.2291,0.2418,0.2360,0.0317,1543.55,1543.55,1583.10,1565.86
01-29-2020,0.2436,5.9489,0.3326,171.8400,171.8300,179.0000,175.6700,,,,,,0.2248,0.2355,0.2318,0.2424,0.2370,0.0389,1568.55,1552.35,1577.95,1576.72
01-30-2020,0.2671,6.0613,0.4048,176.1500,170.0000,185.4470,185.1790,,,,,,0.2610,0.2370,0.2293,0.2455,0.2440,0.0370,1577.05,1572.35,1586.05,1573.92
01-31-2020,0.2328,5.8972,0.3705,184.9500,174.7700,186.9690,180.6600,,,,,,0.2360,0.2441,0.2330,0.2468,0.2392,0.0452,1575.15,1571.00,1589.60,1586.35
02-01-2020,0.2432,5.9472,0.3847,180.6600,178.8400,184.4700,182.5400,,,,,,0.2481,0.2380,0.2365,0.2436,0.2415,,,,,
02-02-2020,0.2514,5.9861,0.4534,182.5200,178.9000,194.0000,191.5900,,,,,,0.3236,0.2418,0.2341,0.2625,0.2561,,,,,
02-03-2020,0.2289,5.8785,0.4364,191.5930,186.2500,195.8100,189.3500,,,,,,0.2979,0.2567,0.2464,0.2604,0.2511,0.0384,1589.50,1569.70,1590.10,1576.05
02-04-2020,0.2287,5.8778,0.4215,189.3500,181.9300,191.7600,187.3800,,,,,,0.3736,0.2514,0.2450,0.2709,0.2658,0.0228,1552.00,1549.10,1579.70,1552.26
02-05-2020,0.3003,6.2202,0.5678,187.3400,186.8900,207.9900,206.6700,,,,,,0.4380,0.2660,0.2632,0.2827,0.2782,0.0255,1554.15,1547.50,1562.45,1556.40
02-06-2020,0.3001,6.2194,0.6211,206.6800,200.4700,216.4900,213.6950,,,,,,0.4625,0.2781,0.2611,0.2886,0.2830,0.0322,1556.15,1552.60,1568.30,1566.56
02-07-2020,0.2971,6.2051,0.6650,213.6990,210.5700,224.7800,219.4900,,,,,,0.4346,0.2829,0.2767,0.2884,0.2776,0.0345,1565.85,1560.95,1574.10,1570.05
02-08-2020,0.3189,6.3094,0.6905,218.8700,212.7741,228.4000,222.8510,,,,,,0.4413,0.2774,0.2632,0.2823,0.2789,,,,,
02-09-2020,0.3394,6.4073,0.7068,223.1500,221.5000,230.9800,224.9900,,,,,,0.4455,0.2787,0.2760,0.2898,0.2797,,,,,
02-10-2020,0.3111,6.2720,0.6880,225.4500,213.3700,229.8400,222.5120,,,,,,0.4161,0.2798,0.2663,0.2848,0.2740,0.0357,1574.75,1568.00,1577.05,1571.90
02-11-2020,0.3647,6.5283,0.8009,222.4400,217.7000,239.9200,237.4000,,,,,,0.4537,0.2740,0.2670,0.2848,0.2813,0.0328,1456.65,1456.65,1574.05,1567.42
02-12-2020,0.3868,6.6338,1.0508,236.8500,235.3900,276.1500,270.3400,,,,,,0.5669,0.2813,0.2795,0.3067,0.3032,0.0314,1567.10,1561.90,1570.45,1565.33
02-13-2020,0.3515,6.4652,0.9928,270.3300,253.7500,278.3100,262.7000,,,,,,0.6693,0.3031,0.2655,0.3409,0.3230,0.0385,1569.85,1567.25,1578.35,1576.10
02-14-2020,0.3666,6.5376,1.1452,262.5700,259.6300,286.1700,282.7900,,,,,,0.7349,0.3230,0.3101,0.3400,0.3357,0.0439,1577.25,1573.10,1584.35,1584.32
02-15-2020,0.3120,6.2763,1.0331,282.7900,261.0000,290.0000,268.0100,,,,,,0.6222,0.3354,0.2936,0.3478,0.3139,,,,,
02-16-2020,0.2913,6.1774,0.9111,268.0100,236.3200,274.0300,251.9300,,,,,,0.4636,0.3137,0.2651,0.3193,0.2832,,,,,
02-17-2020,0.2747,6.0977,0.9741,251.8360,242.1710,264.0600,260.2300,,,,,,0.4639,0.2833,0.2689,0.2968,0.2833,,,,,
02-18-2020,0.3263,6.3448,1.1287,259.9200,258.7200,286.8700,280.6169,,,,,,0.5426,0.2833,0.2756,0.3034,0.2985,0.0553,1583.10,1583.10,1605.15,1601.66
02-19-2020,0.2432,5.9469,0.9920,281.5600,250.0000,287.1300,262.5900,,,,,,0.4470,0.2985,0.2680,0.3095,0.2800,0.0617,1600.65,1599.20,1612.95,1611.34
02-20-2020,0.2405,5.9344,0.9673,262.8400,244.2400,266.8900,259.3400,,,,,,0.4083,0.2798,0.2600,0.2846,0.2725,0.0670,1610.45,1603.90,1623.75,1619.41
02-21-2020,0.2281,5.8750,0.9965,259.3300,253.8020,269.0000,263.1800,,,,,,0.4109,0.2724,0.2682,0.2798,0.2730,0.0828,1622.20,1473.70,1649.30,1643.41
02-22-2020,0.2216,5.8438,0.9939,262.7320,255.1600,267.4300,262.8400,,,,,,0.4304,0.2730,0.2700,0.2789,0.2768,,,,,
02-23-2020,0.2454,5.9578,1.0631,262.7720,260.0100,275.9400,271.9600,,,,,,0.4537,0.2769,0.2739,0.2861,0.2813,,,,,
02-24-2020,0.2104,5.7904,0.9874,271.8400,254.9000,278.2600,261.9900,,,,,,0.3742,0.2813,0.2636,0.2858,0.2659,0.0940,1665.65,1650.90,1689.35,1660.42
02-25-2020,0.1953,5.7180,0.8980,262.0400,243.9100,266.8600,250.2000,,,,,,0.3225,0.2661,0.2504,0.2715,0.2559,0.0773,1635.10,1625.00,1658.80,1635.08
02-26-2020,0.1142,5.3300,0.7038,249.9700,215.1300,253.2700,224.6000,,,,,,0.1953,0.2559,0.2221,0.2589,0.2313,0.0803,1639.85,1625.00,1655.00,1639.58
02-27-2020,0.1173,5.3450,0.7172,224.6000,208.0000,239.0000,226.3700,,,,,,0.2292,0.2313,0.2228,0.2480,0.2379,0.0819,1643.55,1635.35,1660.35,1641.95
02-28-2020,0.1471,5.4876,0.7128,226.6100,213.3600,234.9200,225.7800,,,,,,0.2207,0.2374,0.2278,0.2445,0.2362,0.0442,1645.80,1562.85,1648.20,1584.74
02-29-2020,0.1368,5.4382,0.6953,225.8200,220.9670,233.5000,223.4800,,,,,,0.2098,0.2362,0.2316,0.2430,0.2341,,,,,
03-01-2020,0.1209,5.3623,0.6318,223.5300,211.5000,228.7100,215.1070,,,,,,0.1630,0.2342,0.2231,0.2370,0.2250,,,,,
03-02-2020,0.1776,5.6335,0.7671,214.6900,214.6800,235.5200,232.9400,,,,,,0.2475,0.2250,0.2249,0.2423,0.2414,0.0490,1584.85,1581.65,1611.00,1592.05
03-03-2020,0.1157,5.3371,0.7059,232.9700,219.8700,233.8200,224.8800,,,,,,0.2103,0.2414,0.2295,0.2422,0.2342,0.0842,1640.05,1589.75,1652.60,1645.45
03-04-2020,0.1143,5.3304,0.6890,223.8400,220.2020,229.4200,222.6450,,,,,,0.2043,0.2344,0.2299,0.2390,0.2330,0.0782,1645.85,1632.00,1649.40,1636.40
03-05-2020,0.1363,5.4359,0.7589,224.0000,222.6350,235.1800,231.8600,,,,,,0.2413,0.2333,0.2329,0.2442,0.2402,0.1016,1636.60,1635.60,1674.60,1671.90
03-06-2020,0.1400,5.4535,0.8252,231.1300,226.5130,242.4194,240.6000,,,,,,0.2563,0.2404,0.2373,0.2470,0.2431,0.1028,1674.55,1641.75,1692.05,1673.70
03-07-2020,0.1073,5.2971,0.8096,241.0500,235.6400,253.0100,238.5500,,,,,,0.2257,0.2435,0.2349,0.2462,0.2372,,,,,
03-08-2020,0.0353,4.9527,0.5903,238.6200,203.0000,241.3200,209.6360,,,,,,0.0904,0.2369,0.1996,0.2391,0.2110,,,,,
03-09-2020,-0.0215,4.6809,0.5046,209.6360,189.0700,212.8400,198.3400,,,,,,0.0589,0.2111,0.1978,0.2131,0.2049,0.0981,1700.00,1657.20,1703.05,1666.60
03-10-2020,0.0148,4.8547,0.5445,198.3300,194.7700,207.0000,203.6000,,,,,,0.1027,0.2048,0.2031,0.2163,0.2134,0.0888,1649.55,1641.60,1671.40,1652.45
03-11-2020,0.0036,4.8008,0.4626,203.6000,181.0000,204.2200,192.8000,,,,,,0.0704,0.2133,0.1989,0.2143,0.2071,0.0825,1652.40,1629.60,1671.25,1642.95
03-12-2020,-0.2446,3.6136,-0.0248,192.7500,109.6100,196.5800,128.5500,,,,,,-0.1905,0.2082,0.1200,0.2109,0.1566,0.0381,1643.65,1560.60,1650.05,1575.50
03-13-2020,-0.2624,3.5284,-0.0219,128.4690,87.1310,148.3300,128.9300,,,,,,-0.1995,0.1553,0.1050,0.1722,0.1549,0.0077,1576.65,1505.00,1597.85,1529.45
03-14-2020,-0.2610,3.5351,-0.0345,127.7200,124.8800,139.0000,127.2700,,,,,,-0.2192,0.1549,0.1477,0.1641,0.1511,,,,,
