Ticker,Name,Last Price,1-Day %,AUM,Div Yield (TTM),Flow % AUM-D,Flow %AUM-W,Flow %AUM-M,Flow %AUM-FQ, Flow %AUM-Y,Total Return (1M),Total Return (3M),Fund Flows/Periodic (D),Fund Flows/Periodic (W),Fund Flows/Periodic (M),Fund Flows/Periodic (FQ),Fund Flows/Periodic (Y),Total Return (YTD),Total Return (1D),Total Return (5D),Total Return (1W),Total Return (1Y),Total Return (6M),Total Return (3Y),Total Return (5Y),Total Return (10Y),Total Return (MTD),Total Return (QTD),Total Return (All)
BTC,Grayscale Bitcoin Mini Trust,28.7200,0.0060,3701.13,,0.0017,0.0294,0.0672,0.0889,0.2014,-0.0241,-0.1352,6.33,108.95,248.64,329.08,745.59,-0.2585,0.0060,0.0440,0.0440,-0.4435,-0.3186,,,,0.1067,0.1067,-0.0079
FETH,Fidelity Ether Fund,19.1600,0.0246,916.87,,-0.0168,0.0241,0.0175,-0.0400,0.3901,0.0556,-0.1912,-15.41,22.07,16.08,-36.70,357.64,-0.3529,0.0246,0.1056,0.1056,-0.3706,-0.4155,,,,0.2173,0.2173,-0.4472
HODL,VanEck BTC ETF,18.3600,0.0055,1070.64,,0.0000,0.0142,0.0041,-0.0234,0.0687,-0.0255,-0.1350,0.00,15.17,4.35,-25.07,73.55,-0.2576,0.0055,0.0438,0.0438,-0.4430,-0.3185,,,,0.1054,0.1054,0.3878
BITC,Bitwise Bitcoin Strategy ETF,37.0483,0.0051,14.58,0.0331,0.0000,0.0000,0.0000,0.0000,-0.1532,-0.0509,-0.0320,0.00,0.00,0.00,0.00,-2.23,0.0163,0.0051,0.0450,0.0450,-0.2202,-0.0390,1.1772,,,0.0206,0.0206,1.2673
OBTC,Osprey Bitcoin Trust,20.8844,0.0094,60.96,,0.0000,0.0000,0.0000,0.0000,-0.8841,-0.0235,-0.1360,0.00,0.00,0.00,0.00,-53.89,-0.2585,0.0094,0.0464,0.0464,-0.3812,-0.3187,1.8070,0.5025,,0.1089,0.1089,-0.5823
ETHE,Grayscale ETH Trust,15.5200,0.0244,1447.86,0.0141,0.0000,0.0000,-0.0065,-0.1001,-0.7496,0.0559,-0.1926,0.00,0.00,-9.48,-144.96,-1085.38,-0.3559,0.0244,0.1054,0.1054,-0.3769,-0.4176,0.5645,-0.0004,,0.2181,0.2181,-0.4701
ETHV,VanEck ETH ETF,28.0700,0.0237,91.87,,0.0000,0.0142,-0.0071,-0.0315,-0.0566,0.0561,-0.1923,0.00,1.30,-0.65,-2.89,-5.20,-0.3538,0.0237,0.1047,0.1047,-0.3708,-0.4165,,,,0.2178,0.2178,-0.4461
BRRR,Coinshares Valkyrie BTC Fund,18.3000,0.0060,380.29,,0.0000,0.0000,-0.0074,-0.0877,-0.0037,-0.0256,-0.1356,0.00,0.00,-2.81,-33.37,-1.39,-0.2600,0.0060,0.0433,0.0433,-0.4443,-0.3194,,,,0.1057,0.1057,0.3770
BITB,Bitwise BTC ETF,35.2500,0.0057,2317.41,,0.0001,0.0001,-0.0105,-0.0584,-0.1011,-0.0249,-0.1352,0.34,0.34,-24.23,-135.38,-234.35,-0.2588,0.0057,0.0438,0.0438,-0.4437,-0.3184,,,,0.1064,0.1064,0.3802
ETHA,iShares Ethereum ETF,14.5200,0.0240,5246.50,,0.0105,0.0111,-0.0152,-0.1021,0.8851,0.0552,-0.1920,54.93,58.19,-79.61,-535.74,4643.92,-0.3527,0.0240,0.1076,0.1076,-0.3701,-0.4152,,,,0.2212,0.2212,-0.4466
BITO,ProShares Bitcoin ETF,8.8000,0.0057,1412.21,0.5970,-0.0084,-0.0417,-0.0272,-0.1981,0.6285,-0.0264,-0.1420,-11.81,-58.88,-38.43,-279.83,887.59,-0.2710,0.0057,0.0427,0.0427,-0.4642,-0.3290,0.7725,,,0.1042,0.1042,-0.2188
ETHW,Bitwise ETH ETF,13.7600,0.0246,188.15,,-0.0146,-0.0146,-0.0327,-0.0319,0.1135,0.0552,-0.1915,-2.75,-2.75,-6.16,-6.01,21.36,-0.3531,0.0246,0.1061,0.1061,-0.3700,-0.4152,,,,0.2199,0.2199,-0.4463
IBIT,iShares Bitcoin ETF,36.8100,0.0063,47340.33,,0.0028,-0.0007,-0.0403,-0.0822,0.1107,-0.0246,-0.1351,133.51,-32.17,-1909.03,-3890.81,5241.11,-0.2586,0.0063,0.0448,0.0448,-0.4436,-0.3183,,,,0.1057,0.1057,0.3823
GBTC,Grayscale BTC Trust,50.3400,0.0062,8699.10,,0.0000,-0.0138,-0.0547,-0.1377,-0.4379,-0.0254,-0.1376,0.00,-119.76,-476.27,-1197.68,-3809.74,-0.2636,0.0062,0.0435,0.0435,-0.4506,-0.3227,1.8285,1.1890,41.3625,0.1059,0.1059,120.0358
BITI,ProShares Short Bitcoin ETF,24.8200,-0.0060,119.89,0.1580,0.0000,-0.0657,-0.0900,-0.5727,-0.0073,0.0169,0.1316,0.00,-7.87,-10.79,-68.67,-0.87,0.2309,-0.0060,-0.0443,-0.0443,0.5882,0.3434,-0.6811,,,-0.1001,-0.1001,-0.8471
BTCO,Invesco Bitcoin ETF,64.6150,0.0068,350.61,,0.0000,0.0000,-0.1565,-0.2323,0.1187,-0.0247,-0.1354,0.00,0.00,-54.88,-81.46,41.61,-0.2587,0.0068,0.0439,0.0439,-0.4441,-0.3192,,,,0.1064,0.1064,0.3887
BTCUSD,Bitcoin - United States Dollar,64745.35,-0.0028,,,,,,,,-0.0159,-0.1396,,,,,,-0.2632,-0.0028,0.0063,0.0235,-0.4604,-0.3219,1.1357,1.0372,95.7786,0.1043,0.1043,809315.8750
ETHUSD,Ethereum - United States Dollar,1924.00,0.0008,,,,,,,,0.0715,-0.1814,,,,,,-0.3539,0.0008,0.0543,0.1010,-0.4311,-0.4156,-0.0042,-0.0010,,0.2228,0.2228,235.9458
XRPUSD,Ripple - United States Dollar,1.1136,0.0027,,,,,,,,-0.0886,-0.2333,,,,,,-0.3944,0.0027,-0.0009,0.0156,-0.6366,-0.4628,0.5518,0.8438,,0.0706,0.0706,163.2478
SOLUSD,Solana - United States Dollar,77.3400,0.0000,,,,,,,,0.0440,-0.1368,,,,,,-0.3774,0.0000,-0.0100,-0.0097,-0.5574,-0.4666,1.7941,1.6779,,0.0512,0.0512,4.3151
BTCC,Purpose BTC ETF,11.4000,0.0062,,,,,,,,-0.0339,-0.1435,,,,,,-0.2753,0.0062,0.0440,0.0440,-0.4628,-0.3320,0.9588,0.7431,,0.1047,0.1047,0.1025
BTCWA,Wisdomtree Issuer X Limited,17.8650,-0.0936,,,,,,,,,,,,,,,-0.1456,-0.0936,,,,-0.2320,,,,,,-0.3289
ETCG,Grayscale ETC Trust,3.9580,0.0000,,,,,,,,-0.0370,-0.0910,,,,,,-0.3898,0.0000,0.0416,0.0416,-0.5915,-0.4425,-0.4723,-0.8601,,0.0281,0.0281,-0.8723
Median  ,-,20.8844,0.0060,993.76,0.0955,0.0000,0.0000,-0.0089,-0.0703,0.0325,-0.0244,-0.1372,0.00,0.00,-7.82,-52.68,10.24,-0.2636,0.0060,0.0439,0.0439,-0.4436,-0.3227,0.8657,0.7431,68.5705,0.1058,0.1058,0.1025
Average  ,-,2922.4350,0.0040,4584.90,0.2005,-0.0015,-0.0027,-0.0225,-0.1006,0.0077,-0.0018,-0.1369,10.32,-0.96,-146.45,-381.84,426.21,-0.2637,0.0040,0.0483,0.0519,-0.3904,-0.3188,0.7861,0.5702,68.5705,0.1160,0.1160,35210.3301
Min  ,-,1.1136,-0.0936,14.58,0.0141,-0.0168,-0.0657,-0.1565,-0.5727,-0.8841,-0.0886,-0.2333,-15.41,-119.76,-1909.03,-3890.81,-3809.74,-0.3944,-0.0936,-0.0443,-0.0443,-0.6366,-0.4666,-0.6811,-0.8601,41.3625,-0.1001,-0.1001,-0.8723
Max  ,-,64745.3500,0.0246,47340.33,0.5970,0.0105,0.0294,0.0672,0.0889,0.8851,0.0715,0.1316,133.51,108.95,248.64,329.08,5241.11,0.2309,0.0246,0.1076,0.1076,0.5882,0.3434,1.8285,1.6779,95.7786,0.2228,0.2228,809315.8750
