Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
TAZ21,2021-12-03,4214,4214,4214,4214,-329.5,-7.25%,0,0
TAZ21,2021-12-06,4199.5,4290,3965.5,4206.5,-7.5,-0.18%,710,662
TAZ21,2021-12-07,4353,4436,4280,4298.5,92,+2.19%,235,737
TAZ21,2021-12-08,4319,4473.5,4236.5,4435,136.5,+3.18%,1683,1389
TAZ21,2021-12-09,4417.5,4505,4081,4124,-311.,-7.01%,5421,2489
TAZ21,2021-12-10,4176,4236,3930,4040,-84.,-2.04%,12809,3081
TAZ21,2021-12-13,4100,4161,3660.5,3745,-295.,-7.30%,13273,5325
TAZ21,2021-12-14,3786,3879.5,3680.5,3831,86,+2.30%,12295,6342
TAZ21,2021-12-15,3830.5,4101.5,3646.5,4061.5,230.5,+6.02%,32406,10645
TAZ21,2021-12-16,4036,4118.5,3970,4022,-39.5,-0.97%,13640,10391
TAZ21,2021-12-17,3993,3996,3693.5,3839,-183.,-4.55%,20901,13562
TAZ21,2021-12-20,3970,3989,3756.5,3933.5,94.5,+2.46%,12181,16803
TAZ21,2021-12-21,3904.5,4066,3901,4015.5,82,+2.08%,10900,15798
TAZ21,2021-12-22,4029.5,4080,3935.5,4005,-10.5,-0.26%,12172,16679
TAZ21,2021-12-23,3988,4160,3893.5,4128.5,123.5,+3.08%,11192,18740
TAZ21,2021-12-27,4126,4145.5,4035,4098.5,-30.,-0.73%,7106,19747
TAZ21,2021-12-28,4053,4054,3756.5,3823,-275.5,-6.72%,13041,20861
TAZ21,2021-12-29,3806.5,3821,3692.5,3746,-77.,-2.01%,10198,22543
TAZ21,2021-12-30,3714,3772.5,3580,3721.5,-24.5,-0.65%,9505,22335
TAF22,2021-12-31,3704.5,3819,3630,3650,-71.5,-1.92%,8997,7961
TAF22,2022-01-03,3839.5,3864.5,3686.5,3699,49,+1.34%,6136,8759
TAF22,2022-01-04,3761,3902,3720,3824.5,125.5,+3.39%,7742,10140
TAF22,2022-01-05,3822,3850,3541,3579.5,-245.,-6.41%,15430,10731
TAF22,2022-01-06,3528,3554.5,3288,3417,-162.5,-4.54%,20120,15839
TAF22,2022-01-07,3414,3418,3055.5,3203.5,-213.5,-6.25%,32867,25575
TAF22,2022-01-10,3180,3180,2920,3081.5,-122.,-3.81%,28405,33137
TAF22,2022-01-11,3055,3263.5,3051,3242,160.5,+5.21%,16939,35375
TAF22,2022-01-12,3247,3413,3208.5,3380.5,138.5,+4.27%,18360,38988
TAF22,2022-01-13,3370.5,3417.5,3228.5,3264,-116.5,-3.45%,14154,42170
TAF22,2022-01-14,3253.5,3346.5,3187.5,3305,41,+1.26%,13882,47506
TAF22,2022-01-18,3361,3368,3078.5,3116.5,-188.5,-5.70%,17874,51794
TAF22,2022-01-19,3176.5,3177,3042.5,3106,-10.5,-0.34%,16104,55069
TAF22,2022-01-20,3116.5,3272,3074,3190.5,84.5,+2.72%,11503,55354
TAF22,2022-01-21,3079,3079,2560,2736,-454.5,-14.25%,42270,69260
TAF22,2022-01-24,2450,2551.5,2159,2461.5,-274.5,-10.03%,51450,74867
TAF22,2022-01-25,2415.5,2508,2350,2435.5,-26.,-1.06%,16161,77729
TAF22,2022-01-26,2439.5,2719.5,2414.5,2517.5,82,+3.37%,23069,78281
TAF22,2022-01-27,2436,2523,2315.5,2341,-176.5,-7.01%,36190,89825
TAG22,2022-01-28,2370,2547.5,2355.5,2512,171,+7.30%,21340,18007
TAG22,2022-01-31,2550,2708,2476.5,2688.5,176.5,+7.03%,19846,20332
TAG22,2022-02-01,2681.5,2813,2674.5,2774.5,86,+3.20%,15909,20838
TAG22,2022-02-02,2777.5,2814,2611,2726,-48.5,-1.75%,19614,24334
TAG22,2022-02-03,2657,2721.5,2571.5,2575.5,-150.5,-5.52%,18522,27479
TAG22,2022-02-04,2663.5,2986.5,2653.5,2960.5,385,+14.95%,39732,32946
TAG22,2022-02-07,3005,3193,2991.5,3156,195.5,+6.60%,16642,33119
TAG22,2022-02-08,3157.5,3238.5,3032,3124,-32.,-1.01%,14790,30766
TAG22,2022-02-09,3128.5,3281.5,3061.5,3266.5,142.5,+4.56%,13553,29751
TAG22,2022-02-10,3262.5,3292.5,3087,3113.5,-153.,-4.68%,16477,30791
TAG22,2022-02-11,3116.5,3143.5,2910,2919,-194.5,-6.25%,18761,28845
