Symbol,Name,Latest,Change,%Change,High,Low,Volume,"5D Total OI","Imp Vol","IV Rank"
BTN26,"Bitcoin Futures",64880,-205.,-0.31%,65105,64800,138,N/A,0.00%,N/A
BTQ26,"Bitcoin Futures",65340,370,+0.57%,66000,64860,899,N/A,0.00%,N/A
BTU26,"Bitcoin Futures",65585,385,+0.59%,65975,65440,6,N/A,0.00%,N/A
BTV26,"Bitcoin Futures",65880,385,+0.59%,65880,65880,0,N/A,0.00%,N/A
BTX26,"Bitcoin Futures",66140,390,+0.59%,66140,66140,0,N/A,0.00%,N/A
BTZ26,"Bitcoin Futures",66405,330,+0.50%,66405,66405,0,N/A,0.00%,N/A
BTH27,"Bitcoin Futures",67405,395,+0.59%,67405,67405,0,N/A,0.00%,N/A
BTM27,"Bitcoin Futures",68305,400,+0.59%,68305,68305,0,N/A,0.00%,N/A
BTU27,"Bitcoin Futures",69195,405,+0.59%,69195,69195,0,N/A,0.00%,N/A
BTZ27,"Bitcoin Futures",70155,410,+0.59%,70155,70155,0,N/A,0.00%,N/A
TAN26,"Ether Micro",1925,-1.5,-0.08%,1932.5,1913,469,N/A,0.00%,N/A
TAQ26,"Ether Micro",1930.5,-2.5,-0.13%,1933.5,1924.5,19,N/A,0.00%,N/A
TAU26,"Ether Micro",1939.5,46.5,+2.46%,1965.5,1939.5,2,N/A,0.00%,N/A
TAV26,"Ether Micro",1946.5,46.5,+2.45%,1946.5,1946.5,0,N/A,0.00%,N/A
TAX26,"Ether Micro",1954,45.5,+2.38%,1954,1954,0,N/A,0.00%,N/A
TAZ26,"Ether Micro",1961.5,45.5,+2.37%,1961.5,1936,5,N/A,0.00%,N/A
TAH27,"Ether Micro",2002.5,48,+2.46%,2002.5,2002.5,0,N/A,0.00%,N/A
TAU27,"Ether Micro",2060.5,49.5,+2.46%,2060.5,2060.5,0,N/A,0.00%,N/A
TAZ27,"Ether Micro",2091.5,50.5,+2.47%,2091.5,2091.5,0,N/A,0.00%,N/A
TAM27,"Ether Micro",2031.5,48.5,+2.45%,2031.5,2031.5,0,N/A,0.00%,N/A
