"Date","IBIT Open","IBIT Low","IBIT High","IBIT Close","IBIT Adj. Close","IBIT Return","IBIT / SPY Corr","IBIT / US10Y Corr","MUB Open","MUB Low","MUB High","MUB Close","MUB Adj. Close","MBB Open","MBB Low","MBB High","MBB Close","MBB Adj. Close","HYG Open","HYG Low","HYG High","HYG Close","HYG Adj. Close","AGG Open","AGG Low","AGG High","AGG Close","AGG Adj. Close","US10Y Open","US10Y Low","US10Y High","US10Y Close","US10YT Open","US10YT Low","US10YT High","US10YT Close","US5Y Open","US5Y Low","US5Y High","US5Y Close","US30Y Open","US30Y Low","US30Y High","US30Y Close","JAAA Open","JAAA Low","JAAA High","JAAA Close","JAAA Adj. Close","BKLN Open","BKLN Low","BKLN High","BKLN Close","BKLN Adj. Close","CWB Open","CWB Low","CWB High","CWB Close","CWB Adj. Close","US2Y Open","US2Y Low","US2Y High","US2Y Close","MUB Return","MBB Return","HYG Return","AGG Return","US10Y Return","US10YT Return","US5Y Return","US30Y Return","JAAA Return","BKLN Return","CWB Return","US2Y Return","MUB / SPY Corr","MUB / US10Y Corr","MBB / SPY Corr","MBB / US10Y Corr","HYG / SPY Corr","HYG / US10Y Corr","AGG / SPY Corr","AGG / US10Y Corr","US10Y / SPY Corr","US10Y / US10Y Corr","US10YT / SPY Corr","US10YT / US10Y Corr","US5Y / SPY Corr","US5Y / US10Y Corr","US30Y / SPY Corr","US30Y / US10Y Corr","JAAA / SPY Corr","JAAA / US10Y Corr","BKLN / SPY Corr","BKLN / US10Y Corr","CWB / SPY Corr","CWB / US10Y Corr","US2Y / SPY Corr","US2Y / US10Y Corr"
06-26-2006,,,,,,,,,,,,,,,,,,,,,,,,52.10,52.04,52.24,96.94,52.06,0.05224,0.05220,0.05251,0.05241,0.02655,0.02655,0.02655,0.02655,0.05210,0.05200,0.05227,0.05216,0.05254,0.05248,0.05286,0.05274,,,,,,,,,,,,,,,,0.05270,0.05253,0.05287,0.05257,,,,-0.0029,0.0033,0.0057,0.0012,0.0038,,,,-0.0025,,,,,,,0.10,-0.21,-0.12,1.00,-0.11,0.16,-0.09,0.99,-0.15,0.99,,,,,,,-0.03,0.94
06-27-2006,,,,,,,,,,,,,,,,,,,,,,,,52.24,52.10,52.25,97.21,52.20,0.05235,0.05200,0.05241,0.05208,0.02647,0.02647,0.02647,0.02647,0.05211,0.05174,0.05216,0.05194,0.05266,0.05231,0.05273,0.05238,,,,,,,,,,,,,,,,0.05258,0.05227,0.05266,0.05245,,,,-0.0001,-0.0031,0.0027,-0.0031,-0.0030,,,,-0.0047,,,,,,,0.02,-0.18,-0.04,1.00,-0.12,0.16,-0.02,0.99,-0.06,0.99,,,,,,,0.02,0.93
06-28-2006,,,,,,,,,,,,,,,,,,,,,,,,52.28,52.15,52.28,97.11,52.15,0.05208,0.05202,0.05255,0.05251,0.02677,0.02677,0.02677,0.02677,0.05194,0.05185,0.05242,0.05240,0.05241,0.05232,0.05290,0.05287,,,,,,,,,,,,,,,,0.05242,0.05221,0.05288,0.05283,,,,-0.0011,0.0052,0.0140,0.0058,0.0063,,,,0.0025,,,,,,,0.02,-0.18,-0.13,1.00,-0.07,0.15,-0.11,0.98,-0.13,1.00,,,,,,,-0.07,0.84
06-29-2006,,,,,,,,,,,,,,,,,,,,,,,,52.17,52.15,52.34,97.45,52.33,0.05251,0.05187,0.05253,0.05200,0.02587,0.02587,0.02587,0.02587,0.05229,0.05155,0.05240,0.05157,0.05287,0.05217,0.05287,0.05247,,,,,,,,,,,,,,,,0.05283,0.05192,0.05292,0.05196,,,,0.0024,-0.0046,-0.0201,-0.0102,-0.0013,,,,-0.0140,,,,,,,0.02,-0.19,0.09,1.00,-0.05,0.16,0.15,0.96,0.07,0.99,,,,,,,0.19,0.87
06-30-2006,,,,,,,,,,,,,,,,,,,,,,,,52.39,52.31,52.42,97.44,52.33,0.05192,0.05138,0.05229,0.05145,0.02534,0.02534,0.02534,0.02534,0.05150,0.05098,0.05181,0.05102,0.05244,0.05186,0.05282,0.05189,,,,,,,,,,,,,,,,0.05192,0.05154,0.05221,0.05162,,,,0.0023,-0.0151,-0.0402,-0.0207,-0.0124,,,,-0.0205,,,,,,,0.14,-0.31,0.20,1.00,-0.34,0.39,0.25,0.96,0.18,0.99,,,,,,,0.29,0.86
07-03-2006,,,,,,,,,,,,,,,,,,,,,,,,52.29,52.29,52.49,97.20,52.41,0.05145,0.05143,0.05177,0.05155,0.02562,0.02562,0.02562,0.02562,0.05102,0.05096,0.05134,0.05116,0.05189,0.05187,0.05220,0.05204,,,,,,,,,,,,,,,,0.05162,0.05154,0.05192,0.05179,,,,0.0038,-0.0132,-0.0295,-0.0180,-0.0095,,,,-0.0173,,,,,,,0.05,-0.39,0.24,1.00,-0.26,0.44,0.27,0.97,0.22,0.99,,,,,,,0.31,0.86
07-04-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05153,0.05153,0.05153,0.05153,,,,,0.05110,0.05110,0.05110,0.05110,0.05200,0.05200,0.05200,0.05200,,,,,,,,,,,,,,,,0.05170,0.05170,0.05170,0.05170,,,,,-0.0136,,-0.0192,-0.0103,,,,-0.0190,,,,,,,,,,1.00,,,,0.97,,0.99,,,,,,,,0.86
07-05-2006,,,,,,,,,,,,,,,,,,,,,,,,52.42,52.14,52.42,96.91,52.25,0.05155,0.05140,0.05245,0.05227,0.02629,0.02629,0.02629,0.02629,0.05116,0.05094,0.05202,0.05190,0.05204,0.05190,0.05294,0.05270,,,,,,,,,,,,,,,,0.05179,0.05150,0.05259,0.05242,,,,0.0008,0.0006,-0.0042,-0.0038,0.0030,,,,-0.0053,,,,,,,0.09,-0.39,0.26,1.00,-0.23,0.46,0.30,0.98,0.25,0.99,,,,,,,0.33,0.90
07-06-2006,,,,,,,,,,,,,,,,,,,,,,,,52.35,52.23,52.35,97.00,52.30,0.05227,0.05183,0.05235,0.05185,0.02590,0.02590,0.02590,0.02590,0.05190,0.05148,0.05193,0.05152,0.05270,0.05220,0.05282,0.05224,,,,,,,,,,,,,,,,0.05242,0.05208,0.05250,0.05217,,,,0.0017,-0.0075,-0.0189,-0.0111,-0.0057,,,,-0.0101,,,,,,,0.08,-0.28,0.38,1.00,-0.23,0.32,0.40,0.97,0.38,0.99,,,,,,,0.40,0.89
07-07-2006,,,,,,,,,,,,,,,,,,,,,,,,52.37,52.36,52.59,97.36,52.49,0.05185,0.05122,0.05194,0.05134,0.02544,0.02544,0.02544,0.02544,0.05152,0.05098,0.05157,0.05101,0.05224,0.05129,0.05231,0.05174,,,,,,,,,,,,,,,,0.05217,0.05162,0.05234,0.05175,,,,0.0054,-0.0172,-0.0364,-0.0209,-0.0152,,,,-0.0180,,,,,,,0.10,-0.28,0.50,1.00,-0.25,0.28,0.51,0.97,0.50,0.99,,,,,,,0.51,0.90
