"Date","CRWV Return","CRWV Close","CRWV Adj. Close","GOOGL Return","GOOGL Close","GOOGL Adj. Close","AMZN Return","AMZN Close","AMZN Adj. Close","ORCL Return","ORCL Close","ORCL Adj. Close","SMCI Return","SMCI Close","SMCI Adj. Close","META Return","META Close","META Adj. Close","VST Return","VST Close","VST Adj. Close","CEG Return","CEG Close","CEG Adj. Close","NVDA Return","NVDA Close","NVDA Adj. Close","MARA Return","MARA Close","MARA Adj. Close","RIOT Return","RIOT Close","RIOT Adj. Close","HUT Return","HUT Close","HUT Adj. Close","CLSK Return","CLSK Close","CLSK Adj. Close","CIFR Return","CIFR Close","CIFR Adj. Close","IREN Return","IREN Close","IREN Adj. Close","FUFU Return","FUFU Close","FUFU Adj. Close"
04-03-2020,,,,0.0000,54.63,54.15,0.0000,95.33,95.33,0.0000,49.40,45.20,0.0000,2.02,2.02,0.0000,154.18,152.84,0.0000,15.83,13.90,,,,0.0000,6.10,6.07,0.0000,0.460,0.460,0.0000,0.90,0.90,,,,0.0000,1.05,1.05,,,,,,,,,
04-06-2020,,,,0.0828,59.16,58.64,0.0477,99.88,99.88,0.0423,51.49,47.12,0.0015,2.02,2.02,0.0737,165.55,164.11,0.0120,16.02,14.06,,,,0.1004,6.71,6.68,0.0881,0.50,0.50,0.2167,1.09,1.09,,,,0.0457,1.10,1.10,,,,,,,,,
04-07-2020,,,,0.0822,59.13,58.61,0.0551,100.58,100.58,0.0275,50.76,46.45,0.0050,2.03,2.03,0.0950,168.83,167.36,0.0297,16.30,14.31,,,,0.0620,6.48,6.44,0.0773,0.495,0.495,0.1333,1.02,1.02,,,,0.0552,1.11,1.11,,,,,,,,,
04-08-2020,,,,0.1046,60.35,59.82,0.0715,102.15,102.15,0.0603,52.13,47.93,0.0372,2.09,2.09,0.1304,174.28,172.76,0.1030,17.46,15.33,,,,0.0945,6.67,6.64,0.0442,0.480,0.480,0.1889,1.07,1.07,,,,0.0572,1.11,1.11,,,,,,,,,
04-09-2020,,,,0.1042,60.33,59.80,0.0714,102.14,102.14,0.0816,53.18,48.89,0.0644,2.15,2.15,0.1363,175.19,173.66,0.1238,17.79,15.62,,,,0.0781,6.57,6.54,0.0009,0.460,0.460,0.1444,1.03,1.03,,,,0.7619,1.85,1.85,,,,,,,,,
04-13-2020,,,,0.1077,60.52,59.99,0.1376,108.44,108.44,0.0774,52.97,48.70,0.0550,2.13,2.13,0.1337,174.79,173.27,0.0828,17.14,15.05,,,,0.1064,6.75,6.71,-0.0381,0.442,0.442,0.1222,1.01,1.01,,,,0.6667,1.75,1.75,,,,,,,,,
04-14-2020,,,,0.1579,63.26,62.71,0.1976,114.17,114.17,0.0983,54.00,49.65,0.0852,2.19,2.19,0.1556,178.17,176.62,0.1004,17.42,15.29,,,,0.1642,7.10,7.06,-0.0307,0.445,0.445,0.1222,1.01,1.01,,,,0.4286,1.50,1.50,,,,,,,,,
04-15-2020,,,,0.1506,62.87,62.31,0.2104,115.38,115.38,0.0812,53.16,48.88,0.0709,2.16,2.16,0.1478,176.97,175.43,0.0227,16.19,14.21,,,,0.1514,7.02,6.99,-0.0316,0.445,0.445,0.2556,1.13,1.13,,,,0.4762,1.55,1.55,,,,,,,,,
04-16-2020,,,,0.1508,62.87,62.32,0.2631,120.41,120.41,0.0922,53.70,49.37,0.0704,2.16,2.16,0.1431,176.25,174.72,0.0171,16.10,14.13,,,,0.2082,7.37,7.33,-0.0642,0.430,0.430,0.3000,1.17,1.17,,,,0.6190,1.70,1.70,,,,,,,,,
04-17-2020,,,,0.1705,63.95,63.39,0.2457,118.75,118.75,0.1109,54.62,50.22,0.0788,2.18,2.18,0.1625,179.24,177.68,0.1080,17.54,15.40,,,,0.1985,7.31,7.27,-0.0749,0.425,0.425,0.2667,1.14,1.14,,,,0.5810,1.66,1.66,,,,,,,,,
04-20-2020,,,,0.1542,63.06,62.50,0.2554,119.68,119.68,0.0965,53.91,49.57,0.0748,2.17,2.17,0.1561,178.24,176.69,0.0670,16.89,14.83,,,,0.1769,7.18,7.14,-0.0642,0.430,0.430,0.2222,1.10,1.10,,,,0.5714,1.65,1.65,,,,,,,,,
