Ticker,Name,Volatility (1M),GM % - Est Avg (FY3E),GM % - Est Avg (FY2E),Last Price,1-Day %,Gross Profit Margin % (LTM),Gross Profit Margin % (FQ),Gross Profit Margin % (FY),Total Revenues (LTM),Total Revenues (FY),Total Return (1D),Total Return (5D),Total Return (1W),Total Return (1M),Total Return (6M),Total Return (3M),Total Return (YTD),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),Volatility (6M),Volatility (3M),GM % - Est Avg (FY1E),Volatility (1Y),Revenues - Est Avg (FY1E),Revenues - Est Avg (FY2E),Revenues - Est Avg (FY3E),Gross Profit (LTM),Gross Profit (FQ),Gross Profit (FY),Gross Profit (3YAVGFQ)
MSFT,Microsoft Corporation,37.98,0.6536,0.6660,383.6010,-0.0135,0.6831,0.6763,0.6882,318273.00,281724.00,-0.0135,0.0408,0.0284,-0.0794,-0.2030,0.0326,-0.2033,-0.2231,0.1645,0.4279,7.4444,34.27,35.67,0.6781,27.14,329501.27,384430.07,454405.28,217410.00,56058.00,193893.00,46615.92
GOOGL,Alphabet Inc.,32.51,0.6148,0.6128,361.9390,-0.0139,0.6037,0.6245,0.5965,422498.00,402836.00,-0.0139,0.0234,0.0128,-0.0173,0.1256,0.1856,0.1579,1.0531,2.0561,1.8871,9.3257,31.49,34.75,0.6102,29.80,488371.57,582707.04,684106.37,255053.00,68625.00,240301.00,52823.08
AMZN,Amazon.com Inc.,35.12,0.5380,0.5243,242.1080,-0.0157,0.5060,0.5182,0.5029,742776.00,716924.00,-0.0157,0.0082,0.0158,-0.0159,0.0023,0.1326,0.0489,0.0834,0.8655,0.3099,5.5739,31.02,30.93,0.5121,30.98,823239.05,930624.33,1061329.00,375875.00,94056.00,360510.00,79714.08
ORCL,Oracle Corporation,45.08,0.5006,0.5476,138.7500,-0.0201,0.6582,0.6523,0.6582,67357.00,67357.00,-0.0201,-0.0610,-0.0532,-0.3507,-0.2761,-0.0275,-0.2838,-0.3966,0.2542,0.7244,2.9608,60.80,67.72,0.6010,64.61,89218.37,130188.74,181170.34,44336.00,12513.00,44336.00,10210.23
SMCI,Super Micro Computer Inc.,138.53,0.0791,0.0831,26.8690,0.0236,0.0839,0.0995,0.1106,33700.21,21972.04,0.0236,-0.0455,-0.0839,-0.3547,-0.1047,0.1852,-0.0820,-0.4297,0.0334,6.8381,9.9984,108.23,115.86,0.0828,87.09,39675.99,51705.98,61068.13,2828.72,1018.68,2429.92,567.23
CRWV,CoreWeave Inc.,84.40,0.7186,0.7109,86.9260,0.0407,0.6938,0.6554,0.7168,6227.00,5131.00,0.0407,-0.0899,-0.1267,-0.1341,0.1263,0.0198,0.2139,-0.4557,,,,94.10,86.71,0.6824,94.89,12668.70,25067.99,40252.60,4320.00,1362.00,3678.00,
MARA,MARA Holdings Inc.,68.54,,0.3133,11.8660,-0.0153,0.4533,0.3427,0.4804,867.82,907.09,-0.0153,-0.1542,-0.1457,-0.0369,0.1772,0.3243,0.3214,-0.2916,-0.2428,-0.5850,-0.7253,85.80,73.53,0.2523,79.22,810.30,905.19,685.43,393.42,59.83,435.81,82.85
HUT,Hut 8 Corp.,79.97,0.8827,0.7328,98.1890,0.0150,0.5967,0.6403,0.5416,284.32,235.12,0.0150,-0.1698,-0.1495,-0.1252,0.6964,0.8646,1.1373,3.6316,,,,105.04,103.00,0.5617,102.65,336.67,645.87,1397.62,169.66,45.47,127.34,25.04
RIOT,Riot Platforms Inc.,75.24,0.5553,0.3881,21.0420,-0.0060,0.3235,0.1886,0.3793,653.27,647.43,-0.0060,-0.2417,-0.2315,-0.1467,0.3780,0.4829,0.6608,0.8218,0.3593,-0.4063,5.7770,89.96,79.46,0.2856,84.87,663.29,799.28,995.40,211.31,31.54,245.56,32.10
CEG,Constellation Energy Corporation,38.95,0.4820,0.4735,242.3850,0.0112,0.2326,0.2815,0.1838,29867.00,25533.00,0.0112,-0.0653,-0.0241,-0.0488,-0.2821,-0.1094,-0.3119,-0.2344,1.7086,,,50.76,47.47,0.5095,46.86,34649.00,35617.89,37434.03,6948.00,3131.00,4693.00,1317.54
NVDA,NVIDIA Corporation,33.04,0.7386,0.7432,197.0320,0.0005,0.7415,0.7493,0.7107,253491.00,215938.00,0.0005,-0.0153,-0.0028,-0.0556,0.0661,0.0834,0.0578,0.2331,3.6448,8.9340,157.0563,38.14,39.48,0.7487,35.19,392638.71,554435.31,681143.13,187952.00,61157.00,153463.00,27444.62
IREN,IREN Limited,97.79,0.7937,0.7944,41.8040,0.0500,0.6840,0.7242,0.6827,757.07,501.02,0.0500,-0.0894,-0.0859,-0.2308,-0.0417,0.1697,0.1068,1.4663,5.2675,,,105.54,106.75,0.6828,104.55,739.97,2999.65,6276.79,517.82,104.86,342.03,59.33
CLSK,CleanSpark Inc.,76.69,,0.5104,12.3880,-0.0074,0.5071,0.4011,0.5523,739.88,766.31,-0.0074,-0.1940,-0.1486,-0.2054,0.0384,0.3673,0.2241,0.0934,1.0647,-0.2054,-0.6129,86.30,76.22,0.4440,87.92,643.92,774.83,918.24,375.19,54.72,423.21,64.95
CIFR,Cipher Digital Inc.,99.37,0.7750,0.8290,21.1070,0.0311,0.1237,-0.5129,0.2840,209.82,223.94,0.0311,-0.1499,-0.1385,-0.0598,0.3126,0.5066,0.4300,2.6454,4.6587,1.1277,,102.21,102.48,0.6591,108.78,233.73,873.49,1126.67,25.96,-17.87,63.60,4.10
FUFU,BitFuFu Inc.,79.41,,,1.3600,0.0000,0.1025,0.0544,0.1193,472.15,477.53,0.0000,-0.0933,-0.0355,-0.1758,-0.5497,-0.2527,-0.4848,-0.6092,-0.8717,,,107.39,82.39,0.0320,89.73,298.85,678.10,,48.40,3.96,56.96,11.73
VST,Vistra Corp.,46.01,0.4453,0.4479,153.1690,-0.0164,0.3864,0.4273,0.3324,19445.00,17738.00,-0.0164,-0.0567,-0.0344,0.0311,-0.0065,-0.0019,-0.0480,-0.2051,4.9118,7.6655,,51.17,45.50,0.4620,49.11,23272.26,25271.42,26895.00,7513.00,2410.00,5896.00,1638.85
Median  ,-,71.89,0.6148,0.5476,92.5575,-0.0030,0.5066,0.4727,0.5222,12836.00,11434.50,-0.0030,-0.0774,-0.0686,-0.1023,0.0203,0.1511,0.0823,-0.0608,0.9651,0.7244,5.7770,86.05,74.88,0.5369,82.04,17970.48,25169.70,37434.03,3574.36,1190.34,3053.96,567.23
Average  ,-,66.79,0.5982,0.5585,127.5334,0.0040,0.4613,0.4077,0.4712,118601.16,109931.97,0.0040,-0.0846,-0.0752,-0.1254,0.0287,0.1852,0.1216,0.4489,1.7053,2.4289,21.8665,73.89,70.49,0.4878,70.21,139810.10,170482.82,215946.94,68998.59,18788.32,63180.90,14707.44
Min  ,-,32.51,0.0791,0.0831,1.3600,-0.0201,0.0839,-0.5129,0.1106,209.82,223.94,-0.0201,-0.2417,-0.2315,-0.3547,-0.5497,-0.2527,-0.4848,-0.6092,-0.8717,-0.5850,-0.7253,31.02,30.93,0.0320,27.14,233.73,645.87,685.43,25.96,-17.87,56.96,4.10
Max  ,-,138.53,0.8827,0.8290,383.6010,0.0500,0.7415,0.7493,0.7168,742776.00,716924.00,0.0500,0.0408,0.0284,0.0311,0.6964,0.8646,1.1373,3.6316,5.2675,8.9340,157.0563,108.23,115.86,0.7487,108.78,823239.05,930624.33,1061329.00,375875.00,94056.00,360510.00,79714.08
