Symbol,Name,Latest,Change,%Change,High,Low,Volume,"5D Total OI","Imp Vol","IV Rank"
$VXHY,"High Yield Corporate Bond VIX",5.83,0.29,+5.23%,6.01,5.22,N/A,N/A,0.00%,N/A
A6M26,"Australian Dollar",0.70745,0.0027,+0.38%,0.7089,0.7066,1100,N/A,0.00%,N/A
AHM26,"Bloom Commodity Idx",128.2039,0.5515,+0.43%,129.46,124.52,3140,N/A,0.00%,N/A
B6M26,"British Pound",1.3437,0.0022,+0.16%,1.3457,1.3421,1381,N/A,0.00%,N/A
BAM26,"Bitcoin Micro",59705,-2660.,-4.27%,63500,59005,43983,N/A,0.00%,N/A
BTM26,"Bitcoin Futures",59710,-2655.,-4.26%,63160,58995,8800,N/A,0.00%,N/A
CCU26,Cocoa,4973,328,+7.06%,5040,4589,23858,N/A,0.00%,N/A
CLN26,"Crude Oil WTI",74.82,-1.78,-2.32%,78.96,74.45,20626,N/A,0.00%,N/A
DXM26,"U.S. Dollar Index",99.474,-0.271,-0.27%,99.6,99.445,411,N/A,0.00%,N/A
DXY00,"U.S. Dollar Index",101.589,0.181,+0.18%,101.8,101.391,N/A,N/A,0.00%,N/A
E6M26,"Euro FX",1.16145,0.0039500000000001,+0.34%,1.16205,1.1595,12049,N/A,0.00%,N/A
ESM26,"S&P 500 E-Mini",7508.43,83.93,+1.13%,7514.5,7436.25,33187,N/A,0.00%,N/A
FLN26,"Ethanol Chicago",1.82,-0.01,-0.55%,1.82,1.82,2055,N/A,0.00%,N/A
GBTC,"Grayscale Bitcoin Trust ETF",46.13,-2.22,-4.59%,48.12,45.78,2426102,54308,46.75%,30.15%
GCQ26,Gold,4005.7,-143.7,-3.46%,4132.4,3975.7,172785,N/A,0.00%,N/A
GCY00,Gold,3988.26,-121.83,-2.96%,4114.73,3960.16,191149,N/A,0.00%,N/A
HGN26,"High Grade Copper",5.9505,-0.1975,-3.21%,6.165,5.924,63850,N/A,0.00%,N/A
HVN26,"US Midwest Steel CRU",1156,-2.,-0.17%,1159,1155,134,N/A,0.00%,N/A
IBIT,"Ishares Bitcoin Trust ETF",33.68,-1.63,-4.62%,35.14,33.4101,59250700,6366431,46.42%,26.62%
J6M26,"Japanese Yen",0.0062475,0.000006,+0.10%,0.00626,0.0062415,3315,N/A,0.00%,N/A
L6N26,"Brazilian Real",0.1921,-0.0002,-0.10%,0.19255,0.19125,25017,N/A,0.00%,N/A
NGN26,"Natural Gas",3.214,0.067,+2.13%,3.222,3.136,32659,N/A,0.00%,N/A
QRM26,"Russell 2000 E-Mini",2960.73,41.13,+1.41%,2972.3,2925,8709,N/A,0.00%,N/A
SQZ26,"3-Month SOFR",95.96,0.039999999999992,+0.04%,95.965,95.91,484614,N/A,0.00%,N/A
TAM26,"Ether Micro",1579,-81.,-4.88%,1689,1550.5,28326,N/A,0.00%,N/A
VIM26,"S&P 500 VIX",15.91,-0.2127,-1.32%,16.3,15.75,875,N/A,0.00%,N/A
VIN26,"S&P 500 VIX",19.55,0.0442,+0.23%,19.8,18.9,56711,N/A,0.00%,N/A
ZBU26,"30-Year T-Bond",114.09375,1.28125,+1.14%,114.1875,112.6875,359183,N/A,0.00%,N/A
ZCN26,Corn,407,-2.75,-0.67%,412.5,405.75,123358,N/A,0.00%,N/A
ZFU26,"5-Year T-Note",107.0703125,0.34375,+0.32%,107.09375,106.671875,1131512,N/A,0.00%,N/A
ZLN26,"Soybean Oil",69.46,-1.13,-1.60%,70.95,69.32,51809,N/A,0.00%,N/A
ZMN26,"Soybean Meal",303.6,0.70000000000005,+0.23%,306.9,302.9,34829,N/A,0.00%,N/A
ZNU26,"10-Year T-Note",110,0.625,+0.57%,110.015625,109.296875,1759428,N/A,0.00%,N/A
ZQQ26,"30-Day Fed Funds",96.285,0.0099999999999909,+0.01%,96.295,96.275,164162,N/A,0.00%,N/A
ZSN26,Soybean,1108.75,-8.25,-0.74%,1121,1107,53271,N/A,0.00%,N/A
^BTCUSD,"Bitcoin - USD",59502.27,-2914.01,-4.67%,63156.34,59010.74,16660,N/A,0.00%,N/A
"Downloaded from Barchart.com as of 06-24-2026 01:37pm CDT"
