Symbol,Name,Latest,Change,%Change,High,Low,Volume,"5D Total OI","Imp Vol","IV Rank"
CLN26,"Crude Oil WTI",74.82,-1.78,-2.32%,78.96,74.45,20626,N/A,0.00%,N/A
NGN26,"Natural Gas",3.215,0.068,+2.16%,3.222,3.136,32386,N/A,0.00%,N/A
FLN26,"Ethanol Chicago",1.82,-0.01,-0.55%,1.82,1.82,2055,N/A,0.00%,N/A
ZCN26,Corn,407,-2.75,-0.67%,412.5,405.75,123358,N/A,0.00%,N/A
ZSN26,Soybean,1108.75,-8.25,-0.74%,1121,1107,53271,N/A,0.00%,N/A
ZLN26,"Soybean Oil",69.46,-1.13,-1.60%,70.95,69.32,51809,N/A,0.00%,N/A
ZMN26,"Soybean Meal",303.6,0.70000000000005,+0.23%,306.9,302.9,34829,N/A,0.00%,N/A
GCQ26,Gold,4004,-145.4,-3.50%,4132.4,3975.7,172407,N/A,0.00%,N/A
HGN26,"High Grade Copper",5.949,-0.199,-3.24%,6.165,5.924,63489,N/A,0.00%,N/A
HVN26,"US Midwest Steel CRU",1156,-2.,-0.17%,1159,1155,134,N/A,0.00%,N/A
CCU26,Cocoa,4973,328,+7.06%,5040,4589,23876,N/A,0.00%,N/A
VIM26,"S&P 500 VIX",15.91,-0.2127,-1.32%,16.3,15.75,875,N/A,0.00%,N/A
AHM26,"Bloom Commodity Idx",128.2039,0.5515,+0.43%,129.46,124.52,3140,N/A,0.00%,N/A
ESM26,"S&P 500 E-Mini",7508.43,83.93,+1.13%,7514.5,7436.25,33187,N/A,0.00%,N/A
QRM26,"Russell 2000 E-Mini",2960.73,41.13,+1.41%,2972.3,2925,8709,N/A,0.00%,N/A
DXM26,"U.S. Dollar Index",99.474,-0.271,-0.27%,99.6,99.445,411,N/A,0.00%,N/A
BTM26,"Bitcoin Futures",59685,-2680.,-4.30%,63160,58995,8744,N/A,0.00%,N/A
TAM26,"Ether Micro",1574.5,-85.5,-5.15%,1689,1550.5,27940,N/A,0.00%,N/A
L6N26,"Brazilian Real",0.1921,-0.0002,-0.10%,0.19255,0.19125,24962,N/A,0.00%,N/A
A6M26,"Australian Dollar",0.70745,0.0027,+0.38%,0.7089,0.7066,1100,N/A,0.00%,N/A
B6M26,"British Pound",1.3437,0.0022,+0.16%,1.3457,1.3421,1381,N/A,0.00%,N/A
J6M26,"Japanese Yen",0.0062475,0.000006,+0.10%,0.00626,0.0062415,3315,N/A,0.00%,N/A
E6M26,"Euro FX",1.16145,0.0039500000000001,+0.34%,1.16205,1.1595,12049,N/A,0.00%,N/A
ZBU26,"30-Year T-Bond",114.09375,1.28125,+1.14%,114.1875,112.6875,356708,N/A,0.00%,N/A
ZNU26,"10-Year T-Note",110,0.625,+0.57%,110.015625,109.296875,1752920,N/A,0.00%,N/A
SQZ26,"3-Month SOFR",95.96,0.039999999999992,+0.04%,95.965,95.91,482376,N/A,0.00%,N/A
ZFU26,"5-Year T-Note",107.0859375,0.359375,+0.34%,107.09375,106.671875,1125666,N/A,0.00%,N/A
ZQQ26,"30-Day Fed Funds",96.285,0.0099999999999909,+0.01%,96.295,96.275,164162,N/A,0.00%,N/A
$VXHY,"High Yield Corporate Bond VIX",5.85,0.31,+5.60%,6.01,5.22,N/A,N/A,0.00%,N/A
GCY00,Gold,3986.74,-123.35,-3.00%,4114.73,3960.16,190461,N/A,0.00%,N/A
DXY00,"U.S. Dollar Index",101.6,0.19199999999999,+0.19%,101.8,101.391,N/A,N/A,0.00%,N/A
VIN26,"S&P 500 VIX",19.6,0.094200000000001,+0.48%,19.8,18.9,56413,N/A,0.00%,N/A
IBIT,"Ishares Bitcoin Trust ETF",33.74,-1.57,-4.45%,35.14,33.4101,58215872,6366431,47.40%,28.52%
GBTC,"Grayscale Bitcoin Trust ETF",46.2,-2.15,-4.45%,48.12,45.78,2370899,54308,46.80%,30.24%
BAM26,"Bitcoin Micro",59695,-2670.,-4.28%,63500,59005,43687,N/A,0.00%,N/A
^BTCUSD,"Bitcoin - USD",59608.06,-2808.22,-4.50%,63156.34,59010.74,16548,N/A,0.00%,N/A
"Downloaded from Barchart.com as of 06-24-2026 01:34pm CDT"
